Unnamed: 0,Name,Description,NFT,Rank,Users(24h),Dev Activity(30d),Volume
0,opensea,"OpenSea is a marketplace for the decentralized web, including crypto collectibles, gaming items, and other items that are backed by the Ethereum blockchain. On OpenSea, you can buy or sell any of these items through an Ethereum smart contract, meaning that no central authority ever holds custody of your items.",NFT,1,"54,241+1.53%",769-38.18%,"303,911 ETH1,021,741,755 USD-5.45%"
1,oasis,Oasis is the frontend to access Maker Protocol and create Dai. Oasis Borrow aims to be the most trusted entry point to the Maker Protocol. The long term mission is to allow users to simply and easily deploy their capital into DeFi and manage it in one trusted place.,Finance,4,"18,101+4.67%","1,309-33.01%","197,376 ETH663,573,972 USD+5.42%"
2,uniswap,A simple smart contract interface for swapping ERC20 tokens A formalized model for pooling liquidity reserves An open source frontend interface for traders and liquidity providers A commitment to free and decentralized asset exchange,DeFi,5,257-5.86%,"8,410+58.17%","2 ETH7,063 USD+40.61%"
3,tether,"In our solution, fiat­pegged cryptocurrencies are called “tethers”. All tethers will initially be issued on the Bitcoin blockchain via the Omni Layer protocol and so they exist as a cryptocurrency token. Each tether unit issued into circulation is backed in a one­to­one ratio (i.e. one Tether USDT is one US dollar) by the corresponding fiat currency unit held in deposit by Hong Kong based Tether Limited. Tethers may be redeemable/exchangeable for the underlying fiat currency pursuant to Tether Limited’s terms of service or, if the holder prefers, the equivalent spot value in Bitcoin. Once a tether has been issued, it can be transferred, stored, spent, etc just like bitcoins or any other cryptocurrency. The fiat currency on reserve has gained the properties of a cryptocurrency and its price is permanently tethered to the price of the fiat currency",Finance,6,"23,058-2.35%",--,"14 ETH46,533 USD+3,854.54%"
4,decentraland,"A virtual world that runs on open standards. Decentraland is a virtual reality platform powered by the Ethereum blockchain. Users can create, experience, and monetize content and applications Introducing the Decentraland SDK Alpha. The tools and support you need to pioneer Genesis City.",Property,7,902+0.78%,"5,920-4.13%","0 ETH1,043 USD-"
5,chainlink,"Chainlink connects smart contracts to real-world data, events and payments. The Chainlink network provides reliable tamper-proof inputs and outputs for complex smart contracts on any blockchain. Smart contracts are unable to connect with key external resources such as off-chain data and APIs on their own. Chainlink enables this connection securely and reliably through a secure decentralized oracle network.",Security,9,"1,084-12.58%","1,799-61.03%","0 ETH284 USD+8,437,451.00%"
6,townstar,"Townstar allows players to earn gala tokens by placing within the top 100 players. The game is free to play. You can also earn NFT's that can be used inside our gaming ecosystem with upcoming games such as Mirandus, and our third party gaming company partners games heading into the future. You can also obtain NFT's or parts of NFT's to build speciality bots useable inside Townstar (Which can also be used in future games or sell them on the opensea market or directly to friends via our in-game gifting system by purchasing a light-node that runs on your computer, or can be run on a VPS.) Currently the node doesn't use any resources, the only requirement is to run the node for 6 hours every 24 hour period to be paid out each day at distribution time. Townstar is run and owned by the founders of Zynga and Sandbox Games.",NFT,13,"1,176+16.67%",--,0 ETH47 USD-55.51%
7,dappy-doge,"Non-Fungible Tokens are one of 2021’s hottest trends. Creators and influencers are dropping new forms of the digital collectibles daily while boomers of the non-crypto world still ask: What’s the point? Most answers beyond “because they’re collectible” rely on promises of future utility, but dAppy Doge makes history as one of the first mobile NFT games in which the NFTs possess tangible utility as playable in-game characters.",NFT,14,853+18.64%,--,"1 ETH3,041 USD-51.93%"
8,status,"Status combines a peer-to-peer messenger, crypto wallet, and web3 browser into a a private and secure communication tool. Chat with friends, store crypto and explore the future of the web without being exploited for your data. With Status, you alone control your information. CHAT Status chat is peer-to-peer. Not only is your message content protected, but so is your metadata. The ultimate in privacy protection from a messenger. TRANSACT Store digital assets in your Status wallet. Send and request tokens from friends, or transact with decentralized applications. EXPLORE Access Ethereum based applications on web3. Play games, exchange digital assets and more.",Wallet,16,71+61.36%,"7,021-23.96%",0 ETH0 USD-
9,brave-frontier-heroes,"BFH is the crossover of the extremely successful mobile game BRAVE FRONTIER and the no.1 blockchain game My Crypto Heroes*. It combines the proven gameplay of BRAVE FRONTIER with the proven game economy of My Crypto Heroes. By playing the game, you will own BRAVE FRONTIER characters (Units) and weapons (Spheres) as digital assets, secured by blockchain technology. This allows you to freely buy and sell those assets to others, or even use them on another games. We're creating a world where your time and passion will become your assets. *based on the DAU of Ethereum blockchain games during January 2020",Games,17,"7,953+17.39%",--,"21 ETH71,363 USD+103.07%"
10,cryptoskulls,"CryptoSkulls are 10,000 collectible Non-Fungible Tokens stored on Ethereum blockchain. The collection operates according to the ERC-721 standard: each CryptoSkull belongs to only one person. It cannot be duplicated, deleted or destroyed. Each CryptoSkull character is unique pixel art image with Uniqueness Index property. This property shows total rareness of all image features. For example, CryptoSkulls with beards are rarer than without beards and have less Uniqueness Index. 10 CryptoSkulls are legendary hand drawn images. They are called SKULL LORDS. Their Uniqueness Index is 1. Extreme rarity! Buy, sell, give, bet on your favorite CryptoSkulls, increase the value of your collection!",Media,18,67-56.77%,9-,0 ETH0 USD-
11,singularitynet,"SingularityNET lets anyone create, share, and monetize AI services at scale. The world’s decentralized AI network has arrived. SingularityNET is a full-stack AI solution powered by a decentralized protocol. We gathered the leading minds in machine learning and blockchain to democratize access to AI technology. Now anyone can take advantage of a global network of AI algorithms, services, and agents.",Marketplaces,19,58+45.00%,846+61.76%,0 ETH0 USD-
12,lido,"Lido is a liquid staking solution for ETH 2.0 backed by industry-leading staking providers. Lido lets users stake their ETH - with no minimum deposit - whilst participating in on-chain activities, e.g. lending. Our goal is to solve the problems associated with initial ETH 2.0 staking - illiquidity, immovability and accessibility - making staked ETH liquid and allowing for participation with any amount of ETH to improve security of the Ethereum network.",DeFi,21,199+2.58%,910-24.79%,"13,490 ETH45,352,072 USD-38.68%"
13,celsius-network,P2P Borrowing & Lending. Earn Returns and Margin Borrow Against Your Cryptocurrency.,Wallet,23,"4,938+121.14%",--,0 ETH0 USD-
14,livepeer,Livepeer is a decentralized video transcoding network built on the Ethereum blockchain. The protocol enables cost-efficient broadcasting and streaming services natively in the video layer of the Web 3.0 stack.,Social,24,199+39.16%,"2,189+28.31%",0 ETH0 USD-
15,sushiswap,The SushiSwap protocol realigns incentives for network participants by introducing revenue sharing and forum-driven network efforts to the popular AMM model,Finance,28,362+14.92%,"2,144+44.67%",0 ETH0 USD-
